target_ratio,group,scenario,cases,aether_faster,veridns_faster,aether_win_rate,median_speedup,mean_speedup
single,all,A_ADD,58,17,41,0.29310344827586204,0.5410547848572242,0.8787037846641558
single,all,A_UPDATE,58,28,30,0.4827586206896552,0.880481265227087,17.393170413967514
single,all,NS_UPDATE,59,29,30,0.4915254237288136,0.984349494949495,17.540113537742744
single,all,CNAME_UPDATE,32,25,7,0.78125,1.8097532865630135,7.541807174687038
single,files-100-500,A_ADD,37,11,26,0.2972972972972973,0.4466439790575916,0.9439022535962822
single,files-100-500,A_UPDATE,37,13,24,0.35135135135135137,0.6208183962264151,13.243367676050939
single,files-100-500,NS_UPDATE,38,14,24,0.3684210526315789,0.8172573847628037,13.096501077739713
single,files-100-500,CNAME_UPDATE,20,15,5,0.75,1.4762311305604623,6.529335072632522
single,files-500-1000,A_ADD,8,3,5,0.375,0.7488564765704271,1.0237242131322561
single,files-500-1000,A_UPDATE,8,5,3,0.625,2.552714603409936,24.303206795889842
single,files-500-1000,NS_UPDATE,8,5,3,0.625,1.5839779418593851,18.142804754313275
single,files-500-1000,CNAME_UPDATE,4,3,1,0.75,5.2057043689320395,5.463611394992334
single,files-1000-plus,A_ADD,4,1,3,0.25,0.4861806612234799,0.5697634536133964
single,files-1000-plus,A_UPDATE,4,2,2,0.5,12.859609703020997,12.939701625704046
single,files-1000-plus,NS_UPDATE,4,2,2,0.5,11.568605252525254,12.374237079789722
single,files-1000-plus,CNAME_UPDATE,2,2,0,1.0,32.640370320855624,32.640370320855624
single,top-10,A_ADD,9,2,7,0.2222222222222222,0.5088689516129032,0.6190654008829948
single,top-10,A_UPDATE,9,8,1,0.8888888888888888,29.437375,30.29053545847737
single,top-10,NS_UPDATE,9,8,1,0.8888888888888888,31.218714285714285,38.062252379894176
single,top-10,CNAME_UPDATE,6,5,1,0.8333333333333334,3.4135677547534167,3.9359903192756938
